Id,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,MIDDLE,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
750d65e4-2283-ac6d-d0cf-0febd2f90f5b,2008-08-19,,999-26-6936,S99921441,,,Inés791,,Macías944,,,,white,hispanic,F,San Juan  Puerto Rico  PR,462 Marvin Lock Suite 2,King City,California,Monterey County,6053.0,93930,36.17792542452462,-121.15487888574842,3800.0,104276.7,26297
bb0883a6-4776-62d0-5555-69956ed8a8c6,2022-02-10,,999-68-9294,,,,Jonie421,Henrietta324,Blick895,,,,white,hispanic,F,Fullerton  California  US,116 Satterfield Park,Twentynine Palms,California,San Bernardino County,6071.0,92277,34.18872561174281,-115.60188030259694,450.0,10029.99,28341
9a063b4a-b8f3-a8fc-1934-df616fcd3401,2009-06-30,,999-95-5300,S99973639,,,Kris249,Columbus656,Turner526,,,,white,nonhispanic,M,Fountain Valley  California  US,806 Haley Trail Apt 89,Oceanside,California,San Diego County,6073.0,92081,33.23589667087608,-117.38827007667456,30989.73,49395.35,87488
7fd651c3-f8a5-981a-78d0-0c75228af325,2024-05-26,,999-34-1817,,,,Carmella421,Terresa418,Beier427,,,,white,nonhispanic,F,La Habra  California  US,389 Zulauf Corner,Fountain Valley,California,Orange County,6059.0,92708,33.75386755981818,-117.90971582852036,5322.5,2917.94,171502
a4d2b35d-b1b1-d34a-8e3c-501dc6ebb510,2000-07-04,,999-71-6167,S99932935,X70862315X,Mr.,Shelby741,Conrad619,Balistreri607,,,,asian,nonhispanic,M,Ho Chi Minh City  Gia Định  VN,201 Flatley Burg,Highgrove,California,Riverside County,,0,34.05312561864898,-117.31314297339036,77896.07,19380.35,121022
04894169-4f32-295c-bff2-d246371fb173,2000-05-24,,999-42-4555,S99928222,X18567764X,Ms.,Jasmine145,Sanjuana985,Hilpert278,,,,white,nonhispanic,F,El Cajon  California  US,458 Boyer Fork,Temple City,California,Los Angeles County,6037.0,91780,34.03421887384251,-117.99802797133472,155778.44,185487.77,83830
b8545b48-7f9a-5e10-f1a2-efb53acacd8d,1989-03-24,,999-94-3801,S99928053,X81274639X,Mr.,Dominique369,,Lueilwitz711,,,M,asian,nonhispanic,M,Beijing  Beijing Municipality  CN,968 Veum Center,San Rafael,California,Marin County,6041.0,94903,37.938771158967256,-122.52056933257155,260337.8,128097.94,60713
bbd1ef77-39d0-1dbd-556d-2a4cca16d993,1996-10-18,,999-87-7335,S99919865,X39387072X,Mrs.,Narcisa997,,Zulauf375,,Torphy630,M,black,nonhispanic,F,Los Angeles  California  US,112 Abshire Skyway Apt 18,Pomona,California,Los Angeles County,6037.0,91750,34.114957769765816,-117.82490234041096,114066.92,425630.3,64112
bd77951f-b306-8fb2-503b-8d90a2d8ad7b,1994-10-23,,999-88-8432,S99956840,X29877804X,Mrs.,Desire394,,Vandervort697,,Haag279,M,asian,nonhispanic,F,Arden-Arcade  California  US,793 Smith Village Suite 54,Los Angeles,California,Los Angeles County,6037.0,90029,34.01602789600999,-118.48126481631,245112.34,1586528.76,47442
5373600d-5d60-d0b3-7017-efa9855bdfed,1988-09-30,,999-50-6818,S99912657,X47622277X,Mrs.,Shameka870,Rasheeda241,McGlynn426,,Bogan287,D,white,nonhispanic,F,North Tustin  California  US,635 Hirthe Brook,Los Angeles,California,Los Angeles County,6037.0,90010,34.217218130181536,-118.39811430490396,56690.68,1872968.18,26329
4c34e4b2-3aae-0c8f-a46f-713c046fb864,1978-09-25,2013-08-16,999-61-2558,S99944081,X11504255X,Mrs.,Marsha122,Zulma701,Wisoky380,,Zulauf375,M,white,nonhispanic,F,Oakland  California  US,872 O'Kon Haven,Yucaipa,California,San Bernardino County,6071.0,92374,34.08665585063346,-117.20818939456647,12364.62,1093306.06,1762
37f003c0-6c9c-363f-5321-5b84d3c5ff55,1985-08-29,2022-03-31,999-59-4321,S99991029,X1905865X,Mrs.,Sharri659,,Powlowski563,,Eichmann909,D,white,nonhispanic,F,Daly City  California  US,660 Hettinger Row Apt 81,Oceano,California,San Luis Obispo County,6079.0,93445,35.07184271684249,-120.64798182440282,23228.93,1395481.38,10710
2104b683-5e5d-f2d8-a00e-dff8fc656ce7,2024-10-08,,999-36-4272,,,,Florencia449,,Zamudio115,,,,white,hispanic,F,Santiago  Santiago Province  CL,461 Wilderman Parade Apt 9,Los Angeles,California,Los Angeles County,6037.0,90064,34.24382784491456,-118.36586007375888,5068.83,0.0,61117
c02062c1-74e9-7bae-55a1-a45868035e26,1977-02-01,,999-74-9202,S99922975,X12247685X,Mrs.,Lakeesha370,Sandie760,Armstrong51,,Parisian75,D,white,nonhispanic,F,Los Angeles  California  US,506 VonRueden Ville Apt 32,West Covina,California,Los Angeles County,6037.0,91746,34.06817189452698,-117.85763257431653,454423.82,155732.01,63702
d6ef6f52-7448-08f9-4d28-b09831a49df7,2017-08-31,,999-76-6174,,,,Steven797,Jerrod232,Green467,,,,white,hispanic,M,Long Beach  California  US,209 Schroeder Row,Glendora,California,Los Angeles County,6037.0,91741,34.15522619665277,-117.84821260371064,1800.0,32196.3,23497
08e4f57e-2558-e9e8-c711-e5b52c880ac1,1972-02-06,,999-53-1872,S99910746,X34746330X,Mr.,Marion502,Manual570,Reynolds644,,,M,white,nonhispanic,M,Los Angeles  California  US,792 Treutel Neck Unit 9,Marin City,California,Marin County,,0,37.85171400597067,-122.49983758698814,244234.54,33120.55,65808
f52953a0-f3e8-855b-5dbc-b1e6372a666a,1965-09-04,,999-16-9506,S99937533,X9450032X,Mr.,Pedro316,David908,Valle770,,,S,white,hispanic,M,Kingston  Kingston  JM,492 Cummerata Approach,Chino,California,San Bernardino County,6065.0,92880,33.90838818749311,-117.55978554848492,580267.27,423888.69,77589
82c48afd-41dd-4d7d-0d60-bbf895969b1d,2000-01-31,,999-37-4728,S99989462,X30370463X,Mr.,Lee268,Colby655,Mante251,,,,white,nonhispanic,M,Long Beach  California  US,569 Lemke Rest,Sacramento,California,Sacramento County,6067.0,95817,38.623182656252425,-121.45429234658548,47307.74,56401.26,185472
34996281-60fd-4d32-af4d-2af1fe76f004,2015-07-11,,999-93-5675,,,,Holly570,Melodee943,Ritchie586,,,,asian,nonhispanic,F,Los Angeles  California  US,1040 Goyette Manor,Rowland Heights,California,Los Angeles County,6037.0,91748,33.95991464073648,-117.85710251721436,50108.95,0.0,75849
3b351fa0-9e83-1000-77ac-9f242ec31777,2020-09-22,,999-44-4097,,,,Jesse626,,Schamberger479,,,,black,hispanic,M,Visalia  California  US,529 Sawayn Light Apt 20,Palmdale,California,Los Angeles County,6037.0,93552,34.68072876515603,-117.87381171772329,2245.0,38313.43,4332
a1f62e2a-125c-1658-bb46-986b7a8910e0,1997-01-15,,999-78-3897,S99932565,X37733096X,Mr.,Trevor374,Elliott563,Vandervort697,,,M,white,hispanic,M,Santa Clarita  California  US,802 Grimes Parade Apt 59,Arden-Arcade,California,Sacramento County,,0,38.61885848342726,-121.4018915389733,120953.76,10798.69,54403
